frame,time,yaw,pitch,roll
2,0.06666666666666667,885.4908516396869,-637.946428727393,-760.0052777214092
3,0.1,-10281.750930591594,4257.141694410151,-136.6605624009336
4,0.13333333333333333,3278.142019393461,5024.699355946303,-6535.585082101858
5,0.16666666666666666,744.6182506561888,-10317.657703302139,8883.982281029123
6,0.2,10066.167316849633,11931.226121577161,26755.74064726013
7,0.23333333333333334,69400.92012791349,-21018.85838851042,-57414.89072179478
8,0.26666666666666666,-109114.89377158436,4785.634882250895,55629.5825098755
9,0.3,15379.368109352952,10006.638501037518,-39294.04164630518
10,0.3333333333333333,15314.767274102522,757.9671863353805,10746.376637171392
11,0.36666666666666664,356.7953883764758,-4765.346502599091,2744.0152654206317
12,0.4,-18371.352834316833,7905.562157375826,-3142.1540387282594
13,0.43333333333333335,19783.105011335527,-6414.440351695806,1661.952563709239
14,0.4666666666666667,-14765.901470551113,-9021.561897839238,11812.100525098536
15,0.5,6733.368918917133,12746.917102399859,-13884.040551000255
16,0.5333333333333333,7074.381238010124,-765.8406601992475,615.874072972486
17,0.5666666666666667,420.6113042289092,-6802.919241597022,5277.938871791604
18,0.6,-6789.741795080855,24503.92525096921,-24195.63247876277
19,0.6333333333333333,8459.733047324773,-20345.81697426352,22651.286150463075
20,0.6666666666666666,-3164.541106151384,21567.636333476396,-22446.45899592613
21,0.7,2140.5224322036765,-23377.02980196052,21653.26313445815
22,0.7333333333333333,-1494.4763291487297,-884.002690527907,2755.4505104382033
23,0.7666666666666667,2310.4343817254553,23576.08251747144,-22786.864122184095
24,0.8,-569.9094955299851,-19277.462988212486,18248.348327698837
25,0.8333333333333334,-379.3907888316612,-6769.380318497057,5055.044342178886
26,0.8666666666666667,-112.64528883806128,9657.591175395366,-6507.4149365849
27,0.9,2234.621292574621,-4429.080706688098,773.7115818256262
28,0.9333333333333333,-2728.7303502513732,-823.6082088240513,3197.719100259562
29,0.9666666666666667,1077.708830192653,3059.1792413349167,-3492.202347916673
30,1.0,226.36213522093715,-4871.768560834283,3714.265556704818
31,1.0333333333333334,-1372.6263471602151,4281.502585334473,-4855.459916495851
32,1.0666666666666667,-392.1008629214491,1226.033452212671,-2090.9301968282753
33,1.1,463.03037402936747,-951.5489668733952,2087.736356758368
